drawing,section,symbol,spec_raw,spec_normalized,spec_note,source_sheet,source_table_title,symbol_x,symbol_y
도면3,,G5,600x200x11x17,H-600x200x11x17,,2층바닥 구조평면도,,6532693.4,-4158768.8
도면3,,G5,600x200x11x17,H-600x200x11x17,,중간1층바닥 구조평면도,,6616793.4,-4158768.8
도면3,,G6,500x200x10x16,H-500x200x10x16,,2층바닥 구조평면도,,6532693.4,-4159268.8
도면3,,G6,500x200x10x16,H-500x200x10x16,,중간1층바닥 구조평면도,,6616793.4,-4159268.8
도면3,,MG1,200x200x8x12,H-200x200x8x12,,중간1층바닥 구조평면도,,6621793.4,-4160768.8
도면3,,RB1,194x150x6x9,H-194x150x6x9,,지붕층 구조평면도,,6705893.4,-4156268.8
도면3,,RB2,200x200x8x12,H-200x200x8x12,,지붕층 구조평면도,,6705893.4,-4156768.8
도면3,,RG1,194x150x6x9,H-194x150x6x9,,지붕층 구조평면도,,6700893.4,-4156268.8
도면3,,RG2,200x200x8x12,H-200x200x8x12,,지붕층 구조평면도,,6700893.4,-4156768.8
도면3,,RG3,500x200x10x16,H-500x200x10x16,,지붕층 구조평면도,,6700893.4,-4157268.8
도면3,,RG4,600x200x11x17,H-600x200x11x17,,지붕층 구조평면도,,6700893.4,-4157768.8
도면4,,SB1,H 194x150x6/9,H-194x150x6x9,,지붕층 구조평면도,보 일람표,4460816.4,-1606021.1
도면4,,SC1,H 350x175x7/11,H-350x175x7x11,,1층구조평면도,기둥 일람표,4418782.1,-1604425.3
도면4,,SC1,H 350x175x7/11,H-350x175x7x11,,지붕층 구조평면도,기둥 일람표,4460816.4,-1604456.7
도면4,,SC2,H 194x150x6/9,H-194x150x6x9,,1층구조평면도,기둥 일람표,4418782.1,-1604725.3
도면4,,SC2,H 194x150x6/9,H-194x150x6x9,,지붕층 구조평면도,기둥 일람표,4460816.4,-1604756.7
도면4,,SG1,H 350x175x7/11,H-350x175x7x11,,지붕층 구조평면도,보 일람표,4460816.4,-1606321.1
도면5,,B1,294x200x8x12,H-294x200x8x12,,지붕층바닥 구조평면도,,9050745.8,-3253152.5
도면5,,C1,300x300x10x15,H-300x300x10x15,,2층바닥 구조평면도,,9042665,-3312353.1
도면5,,C2,250x250x9x14,H-250x250x9x14,,2층바닥 구조평면도,,9042665,-3313103.1
도면5,,C3,450x200x9x14,H-450x200x9x14,,2층바닥 구조평면도,,9042665,-3313853.1
도면5,,C4,200x200x8x12,H-200x200x8x12,,2층바닥 구조평면도,,9042665,-3314603.1
도면5,,G1,294x200x8x12,H-294x200x8x12,,지붕층바닥 구조평면도,,9042665,-3253152.5
도면5,,G3,400x200x8x13,H-400x200x8x13,,지붕층바닥 구조평면도,,9042665,-3253902.5
도면5,,G3,488x300x11x18,H-488x300x11x18,,지붕층바닥 구조평면도,,9042665,-3254652.5
도면5,,G4,400x200x8x13,H-400x200x8x13,,지붕층바닥 구조평면도,,9042665,-3255402.5
도면5,,G5,294x200x8x12,H-294x200x8x12,,지붕층바닥 구조평면도,,9042665,-3256152.5
도면5,,MG1,194x150x6x9,H-194x150x6x9,,지붕층바닥 구조평면도,,9042234.7,-3196202
도면5,,MG1,194x150x6x9,H-194x150x6x9,,지붕층바닥 구조평면도,,9050745.8,-3253902.5
도면5,,MG2,200x200x8x12,H-200x200x8x12,,지붕층바닥 구조평면도,,9042234.7,-3196952
도면5,,MG2,200x200x8x12,H-200x200x8x12,,지붕층바닥 구조평면도,,9050745.8,-3254652.5
도면5,,RB1,194x150x6x9,H-194x150x6x9,,지붕층바닥 구조평면도,,9050465.2,-3193952
도면5,,RG1,194x150x6x9,H-194x150x6x9,,지붕층바닥 구조평면도,,9042234.7,-3193952
도면5,,RG3,450x200x9x14,H-450x200x9x14,,지붕층바닥 구조평면도,,9042234.7,-3194702
