도면,파일명,추출도면명,매칭시트,신뢰도,측정카운트,정답카운트,카운트결과,측정길이,정답길이,길이결과,측정규격,정답규격,규격결과
도면3,도면3_1층바닥구조평면도.dxf,1층바닥 구조평면도,1층바닥 구조평면도,exact,"C1=8,C2=15,C3=8,C4=1","C1=8,C2=15,C3=8,C4=1",PASS,N/A,N/A,N/A,"C1=H-600x407x20x35,C2=H-428x407x20x35,C3=H-400x400x13x21,C4=H-300x300x10x15","C1=H-600x407x20x35,C2=H-428x407x20x35,C3=H-400x400x13x21,C4=H-300x300x10x15",PASS
도면3,도면3_2층바닥구조평면도.dxf,2층바닥 구조평면도,2층바닥 구조평면도,exact,"C1=0,C2=0,C3=0,C4=0","C1=0,C2=0,C3=0,C4=0",PASS,N/A,N/A,N/A,,,N/A
도면3,도면3_계단단면도.dxf,계단 단면도,계단단면도,exact,N/A,N/A,N/A,19060,19060,PASS,N/A,N/A,N/A
도면3,도면3_배면도.dxf,(배면도),입면도-2,fallback,"C1=0,C2=0,C3=0,C4=0","C1=0,C2=0,C3=0,C4=0",PASS,N/A,N/A,N/A,,,N/A
도면3,도면3_배면도우측면도.dxf,(배면도),입면도-2,fallback,"C1=0,C2=0,C3=0,C4=0","C1=0,C2=0,C3=0,C4=0",PASS,N/A,N/A,N/A,,,N/A
도면3,도면3_우측면도.dxf,(배면도),입면도-2,fallback,"C1=0,C2=0,C3=0,C4=0","C1=0,C2=0,C3=0,C4=0",PASS,N/A,N/A,N/A,,,N/A
도면3,도면3_종단면도.dxf,"종단면도, 계단단면도","종단면도,계단단면도",exact,"C1=0,C2=0,C3=0,C4=0","C1=0,C2=0,C3=0,C4=0",PASS,N/A,N/A,N/A,,,N/A
도면3,도면3_종단면도계단단면도.dxf,계단 단면도,계단단면도,exact,N/A,N/A,N/A,19060,19060,PASS,N/A,N/A,N/A
도면3,도면3_중간1층바닥구조평면도.dxf,중간1층바닥 구조평면도,중간1층바닥 구조평면도,exact,"C1=0,C2=0,C3=0,C4=0","C1=0,C2=0,C3=0,C4=0",PASS,N/A,N/A,N/A,,,N/A
도면3,도면3_지붕층구조평면도.dxf,지붕층 구조평면도,지붕층 구조평면도,exact,"C1=0,C2=0,C3=0,C4=0","C1=0,C2=0,C3=0,C4=0",PASS,N/A,N/A,N/A,,,N/A
