도면,파일명,추출도면명,매칭시트,신뢰도,측정카운트,정답카운트,카운트결과,측정길이,정답길이,길이결과,측정규격,정답규격,규격결과
도면4,도면4_1층구조평면도.dxf,1층구조평면도,1층 구조평면도,exact,"SC1=14,SC2=4","SC1=14,SC2=4",PASS,N/A,N/A,N/A,"SC1=H-350x175x7x11,SC2=H-194x150x6x9","SC1=H-350x175x7x11,SC2=H-194x150x6x9",PASS
도면4,도면4_종단면도.dxf,단면도,종단면도,partial,N/A,N/A,N/A,9000,9000,PASS,N/A,N/A,N/A
도면4,도면4_종단면도횡단면도.dxf,단면도,종단면도,partial,N/A,N/A,N/A,9000,9000,PASS,N/A,N/A,N/A
도면4,도면4_지붕층구조평면도.dxf,지붕층 구조평면도,지붕층 구조평면도,exact,"SC1=0,SC2=0","SC1=0,SC2=0",PASS,N/A,N/A,N/A,,,N/A
도면4,도면4_횡단면도.dxf,단면도,종단면도,partial,N/A,N/A,N/A,9000,9000,PASS,N/A,N/A,N/A
