도면,파일명,추출도면명,매칭시트,신뢰도,측정카운트,정답카운트,카운트결과,측정길이,정답길이,길이결과,측정규격,정답규격,규격결과
도면5,도면5_1층바닥구조평면도.dxf,1층바닥 구조평면도,1층바닥 구조평면도,exact,"C1=2,C2=4,C3=8,C4=6","C1=2,C2=4,C3=8,C4=6",PASS,N/A,N/A,N/A,"C1=H-300x300x10x15,C2=H-250x250x9x14,C3=H-450x200x9x14,C4=H-200x200x8x12","C1=H-300x300x10x15,C2=H-250x250x9x14,C3=H-450x200x9x14,C4=H-200x200x8x12",PASS
도면5,도면5_2층바닥구조평면도.dxf,2층바닥 구조평면도,2층바닥 구조평면도,exact,"C1=0,C2=0,C3=0,C4=0","C1=0,C2=0,C3=0,C4=0",PASS,N/A,N/A,N/A,,,N/A
도면5,도면5_Y1축열골조도.dxf,Y1축열 골조도,Y1 축열 골조도,exact,"C1=0,C2=0,C3=0,C4=0","C1=0,C2=0,C3=0,C4=0",PASS,N/A,N/A,N/A,,,N/A
도면5,도면5_우측면도.dxf,입면도1,입면도1,exact,"C1=0,C2=0,C3=0,C4=0","C1=0,C2=0,C3=0,C4=0",PASS,N/A,N/A,N/A,,,N/A
도면5,도면5_정면도.dxf,입면도1,입면도1,exact,"C1=0,C2=0,C3=0,C4=0","C1=0,C2=0,C3=0,C4=0",PASS,N/A,N/A,N/A,,,N/A
도면5,도면5_정면도우측면도.dxf,입면도1,입면도1,exact,"C1=0,C2=0,C3=0,C4=0","C1=0,C2=0,C3=0,C4=0",PASS,N/A,N/A,N/A,,,N/A
도면5,도면5_주단면도1.dxf,주단면도1,주단면도1,exact,N/A,N/A,N/A,10500,10500,PASS,N/A,N/A,N/A
도면5,도면5_주단면도4.dxf,주단면도4,주단면도4,exact,N/A,N/A,N/A,10500,10500,PASS,N/A,N/A,N/A
도면5,도면5_지붕층바닥구조평면도.dxf,지붕층바닥 구조평면도,지붕층바닥 구조평면도,exact,"C1=0,C2=0,C3=0,C4=0","C1=0,C2=0,C3=0,C4=0",PASS,N/A,N/A,N/A,,,N/A
