도면,파일명,추출도면명,매칭시트,신뢰도,측정카운트,정답카운트,카운트결과,측정길이,정답길이,길이결과,측정규격,정답규격,규격결과
도면2,도면2_가나동1층구조평면도.dxf,"가,나동 1층 구조평면도","가,나동 1층 구조평면도",exact,"SC1=0,SC2=0","SC1=10,SC2=4",FAIL,N/A,N/A,N/A,,,N/A
도면2,도면2_가나동정면도.dxf,"가,나동 입면도","가,나동 입면도
(가,나동 정면도, 가,나동 좌측면도)",partial,"SC1=0,SC2=0","SC1=0,SC2=0",PASS,N/A,N/A,N/A,,,N/A
도면2,도면2_가나동정면도좌측면도.dxf,"가,나동 입면도","가,나동 입면도
(가,나동 정면도, 가,나동 좌측면도)",partial,"SC1=0,SC2=0","SC1=0,SC2=0",PASS,N/A,N/A,N/A,,,N/A
도면2,도면2_가나동종단면도.dxf,,,unmatched,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
도면2,도면2_가나동좌측면도.dxf,"가,나동 입면도","가,나동 입면도
(가,나동 정면도, 가,나동 좌측면도)",partial,"SC1=0,SC2=0","SC1=0,SC2=0",PASS,N/A,N/A,N/A,,,N/A
도면2,도면2_가나동지붕구조평면도.dxf,"가,나동 지붕 구조평면도","가,나동 지붕 구조평면도",exact,"SC1=0,SC2=0","SC1=0,SC2=0",PASS,N/A,N/A,N/A,,,N/A
도면2,도면2_가나동횡단면도.dxf,"가,나동 횡단면도","가,나동 횡단면도",exact,N/A,N/A,N/A,7700,7700,PASS,N/A,N/A,N/A
